model_rank,model_id,model_status,exclusion_reason,variable_1,test_type_1,test_statistic_1,p_value_1,variable_2,test_type_2,test_statistic_2,p_value_2,variable_3,test_type_3,test_statistic_3,p_value_3,variable_4,test_type_4,test_statistic_4,p_value_4,r_squared,adjusted_r_squared,RMSE,MAE,spearman,f_statistics,f_p_value,aic,aicc,bic,vif,max_vif,mean_vif,condition_number,max_cooks_distance,sign_check,sign_failures,n_observations,n_original_variables,n_parameters,price_included,demand_supply_included,market_speed_included,family_coverage,families_included,sign_rank,vif_rank
2591,5300,VALID,,HOMES_SOLD,t,2.6977147379115864,0.008532702873071741,AVG_SALE_TO_LIST,t,4.034616182069563,0.0001254510990549859,SOLD_ABOVE_LIST_MOM,t,-0.3614154819418632,0.7187536809081916,,,,,0.2791200642464844,0.25174487681280655,13.970902509460426,11.230541831463894,0.4920853122982601,10.19609691888729,9.474813535753028e-06,681.2819410921679,681.7947616049885,690.9573035233543,1.1442187453227446,1.1442187453227446,1.101924281462704,4289.388037325911,0.5150465261785799,FAIL,SOLD_ABOVE_LIST_MOM,83,3,4,0,1,1,2,"demand_supply, market_speed",2,0
2592,4274,VALID,,MEDIAN_LIST_PPSF,t,1.448567352707488,0.15141606324048248,HOMES_SOLD_YOY,t,0.8834702466447748,0.37966292952209413,SOLD_ABOVE_LIST,t,5.4636350541487,5.258015112670557e-07,,,,,0.27909313678053005,0.251716926784854,13.971163438826032,10.89472805537292,0.5218332518185848,10.194732463865938,9.488382767196917e-06,681.2850413836619,681.7978618964825,690.9604038148483,1.2026418483393009,1.2026418483393009,1.1404464799936325,5960.743042587621,0.22864213931611346,PASS,,83,3,4,1,1,1,3,"price, demand_supply, market_speed",0,0
2593,6870,VALID,,INVENTORY_YOY,t,0.4537695926662384,0.651238794444268,AVG_SALE_TO_LIST,t,4.817039948988888,6.90770444525193e-06,SOLD_ABOVE_LIST_YOY,t,-2.6935847579707035,0.008629956622532848,,,,,0.27906302046179976,0.2516856668084504,13.971455262665101,11.075675287279523,0.46751412328394326,10.193206545646492,9.50358127628934e-06,681.2885086862655,681.801329199086,690.9638711174518,1.0234783320530871,1.0234783320530871,1.0156331359987665,83.19315906576709,0.5446346093245795,FAIL,"INVENTORY_YOY, SOLD_ABOVE_LIST_YOY",83,3,4,0,1,1,2,"demand_supply, market_speed",2,0
2594,2306,VALID,,MEDIAN_LIST_PRICE_MOM,t,1.6651314374885087,0.09984779726660813,MEDIAN_LIST_PPSF_YOY,t,0.20987471913553307,0.8343057703004524,SOLD_ABOVE_LIST,t,5.10130455413941,2.265652784496702e-06,,,,,0.27903973388289316,0.25166149592907894,13.971680902892665,10.964671967066083,0.5126453072085303,10.192026760583358,9.515349292925727e-06,681.2911895791727,681.8040100919933,690.9665520103591,1.0419027313842526,1.0419027313842526,1.0294646378068804,18.187451822474618,0.4858135954477028,PASS,,83,3,4,1,0,1,2,"price, market_speed",0,0
2595,5303,VALID,,HOMES_SOLD,t,2.737314040312654,0.007649654327083553,AVG_SALE_TO_LIST,t,4.124904206703453,9.105370853736388e-05,OFF_MARKET_IN_TWO_WEEKS_MOM,t,-0.34382621384392537,0.7318904297939759,,,,,0.279007039849405,0.2516275603500153,13.971997692490012,11.217622789120606,0.4900272127056079,10.190370487343426,9.531895310139774e-06,681.2949533694684,681.807773882289,690.9703158006548,1.0476936058498467,1.0476936058498467,1.0331433396614804,4086.347022497556,0.47780976028972105,FAIL,OFF_MARKET_IN_TWO_WEEKS_MOM,83,3,4,0,1,1,2,"demand_supply, market_speed",2,0
2596,3573,VALID,,MEDIAN_PPSF_MOM,t,-1.7413746665614938,0.08551063973948604,HOMES_SOLD_MOM,t,-0.6605313579782776,0.5108344130783106,SOLD_ABOVE_LIST,t,5.455577809281998,5.434023261215964e-07,,,,,0.2789008189572708,0.2515173057531166,13.973026872720341,10.583599905845917,0.48842063496236415,10.18499039469339,9.585845385544273e-06,681.3071805133676,681.8200010261882,690.982542944554,1.3311119942672267,1.3311119942672267,1.2259301303959849,15.075101798266834,0.07934832046952263,FAIL,"MEDIAN_PPSF_MOM, HOMES_SOLD_MOM",83,3,4,1,1,1,3,"price, demand_supply, market_speed",2,0
2597,2528,VALID,,MEDIAN_LIST_PRICE_MOM,t,1.7378424424737873,0.08613521727310886,INVENTORY_YOY,t,0.16189417035093706,0.8718025435269309,SOLD_ABOVE_LIST,t,5.112980472273385,2.162923554114617e-06,,,,,0.27887699983295944,0.2514925821050972,13.973257647157782,10.951234052717199,0.5077940724544215,10.18378417260323,9.597983869900306e-06,681.3099220983241,681.8227426111447,690.9852845295105,1.004896832864124,1.004896832864124,1.0032794335103272,18.40429773588157,0.1805236268695789,FAIL,INVENTORY_YOY,83,3,4,1,1,1,3,"price, demand_supply, market_speed",2,0
2598,2352,VALID,,MEDIAN_LIST_PRICE_MOM,t,1.7388567315100558,0.08595548470541856,HOMES_SOLD_MOM,t,0.14275134591584115,0.8868500274501978,SOLD_ABOVE_LIST,t,5.0708563458391795,2.556525012289838e-06,,,,,0.27882378030085986,0.2514373415781077,13.973773257194978,10.950157975566507,0.5120677792616126,10.181089375056935,9.625159082864422e-06,681.3160473476559,681.8288678604764,690.9914097788422,1.0310195136797387,1.0310195136797387,1.0213057936343155,17.62791922091576,0.31743990593057964,PASS,,83,3,4,1,1,1,3,"price, demand_supply, market_speed",0,0
2599,3295,VALID,,MEDIAN_PPSF,t,1.2774896308517258,0.2051709670313167,NEW_LISTINGS,t,0.9828085284920911,0.3287020715346062,SOLD_ABOVE_LIST,t,5.340847732142712,8.666010091815796e-07,,,,,0.27879582128803604,0.2514083208306197,13.9740441265806,11.044360308429757,0.5246473879962927,10.179673815853466,9.639465572832542e-06,681.3192650814342,681.8320855942547,690.9946275126206,1.1463158413418866,1.1463158413418866,1.0987953961230181,5724.841828383371,0.14880522898930515,PASS,,83,3,4,1,1,1,3,"price, demand_supply, market_speed",0,0
2600,4168,VALID,,MEDIAN_PPSF_YOY,t,-0.6344192237092264,0.5276402093644864,AVG_SALE_TO_LIST,t,1.7358135426020338,0.08649566786046264,SOLD_ABOVE_LIST,t,2.5761991578567764,0.011852637099461874,,,,,0.27879010623032496,0.25140238874540066,13.974099493918162,10.900865995900539,0.5223582772248735,10.179384477139639,9.642392480918308e-06,681.3199227979652,681.8327433107858,690.9952852291516,2.064901549843551,2.064901549843551,1.699408563616652,117.03972680321996,0.46968781598111603,FAIL,MEDIAN_PPSF_YOY,83,3,4,1,0,1,2,"price, market_speed",2,0
