Model,Evaluation,r_squared,adjusted_r_squared,RMSE,MAE,spearman,f_statistics,f_p_value,aic,aicc,bic,max_vif,mean_vif,condition_number,max_cooks_distance,sign_check,family_coverage,n_parameters
Best brute-force OLS,In-sample,0.7127087970286974,0.7017990045107998,8.819706987586635,6.917449698930497,0.861787202390596,65.3274382495813,2.4387978990746116e-21,604.9239120973723,605.4367326101928,614.5992745285587,1.70767296565113,1.5242214144927415,721.8570960199833,0.16479958116656773,PASS,1,4
Lasso,Out-of-fold,0.606416811367152,,10.323126828365814,7.566199452057547,0.8295506424444625,,,,,,,,,,,3,12
Lasso,In-sample,0.7882489025498987,0.7519487144155956,7.571916708239339,5.883339642742786,0.8869569203680823,,,,,,,,,,FAIL,3,12
Lasso post-selection OLS,In-sample exploratory,0.8091393078567484,0.7664093021530354,7.188714572813503,5.582404271205408,0.8935617399791954,18.93609173533149,1.8298548947646978e-18,594.9808509098636,603.2232751522879,633.6823006346092,3.504145565056818,1.9927285882839612,9142.758604997769,1.1613896334599259,FAIL,3,16
