encoded_feature,original_variable,category_level,coefficient,selected,expected_sign,sign_check,p_value_test_type,p_value
MEDIAN_SALE_PRICE_MOM,MEDIAN_SALE_PRICE_MOM,,1.1255018076799186,True,positive,PASS,t,0.033814900723995865
MEDIAN_LIST_PRICE_MOM,MEDIAN_LIST_PRICE_MOM,,0.3145029493087042,True,positive,PASS,t,0.3668306053424548
MEDIAN_LIST_PPSF_MOM,MEDIAN_LIST_PPSF_MOM,,1.9078414448996122,True,positive,PASS,t,0.04749670227710507
HOMES_SOLD,HOMES_SOLD,,0.8774046076148072,True,positive,PASS,t,0.18435978565892566
NEW_LISTINGS_YOY,NEW_LISTINGS_YOY,,-1.3839906785609124,True,unconstrained,NOT_APPLICABLE,t,0.03131271971071433
MEDIAN_DOM,MEDIAN_DOM,,-7.5903560632644735,True,negative,PASS,t,8.43401121798621e-08
AVG_SALE_TO_LIST,AVG_SALE_TO_LIST,,0.8447298769384355,True,positive,PASS,t,0.5564168898430023
SOLD_ABOVE_LIST,SOLD_ABOVE_LIST,,2.7512331070621823,True,positive,PASS,t,0.013189168691248594
OFF_MARKET_IN_TWO_WEEKS,OFF_MARKET_IN_TWO_WEEKS,,4.708248155938146,True,positive,PASS,t,8.741434324210347e-05
